chapter,chapter_name,hs2,hs2_name,hs4,hs4_name,chapter_id,hs2_id,hs4_id
1,Animal Products,1,Animals; live,101,Horses,1,101,10101
1,Animal Products,1,Animals; live,102,Bovine,1,101,10102
1,Animal Products,1,Animals; live,103,Pigs,1,101,10103
1,Animal Products,1,Animals; live,104,Sheep and Goats,1,101,10104
1,Animal Products,1,Animals; live,105,Poultry,1,101,10105
1,Animal Products,1,Animals; live,106,Other Animals,1,101,10106
1,Animal Products,2,Meat and edible meat offal,201,Bovine Meat,1,102,10201
1,Animal Products,2,Meat and edible meat offal,202,Frozen Bovine Meat,1,102,10202
1,Animal Products,2,Meat and edible meat offal,203,Pig Meat,1,102,10203
1,Animal Products,2,Meat and edible meat offal,204,Sheep and Goat Meat,1,102,10204
1,Animal Products,2,Meat and edible meat offal,205,Horse Meat,1,102,10205
1,Animal Products,2,Meat and edible meat offal,206,Edible Offal,1,102,10206
1,Animal Products,2,Meat and edible meat offal,207,Poultry Meat,1,102,10207
1,Animal Products,2,Meat and edible meat offal,208,Other Meat,1,102,10208
1,Animal Products,2,Meat and edible meat offal,209,Animal Fat,1,102,10209
1,Animal Products,2,Meat and edible meat offal,210,Preserved Meat,1,102,10210
1,Animal Products,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",301,Live Fish,1,103,10301
1,Animal Products,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",302,Non-fillet Fresh Fish,1,103,10302
1,Animal Products,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",303,Non-fillet Frozen Fish,1,103,10303
1,Animal Products,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",304,Fish Fillets,1,103,10304
1,Animal Products,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",305,Processed Fish,1,103,10305
1,Animal Products,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",306,Crustaceans,1,103,10306
1,Animal Products,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",307,Molluscs,1,103,10307
1,Animal Products,4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",401,Milk,1,104,10401
1,Animal Products,4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",402,Concentrated Milk,1,104,10402
1,Animal Products,4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",403,Fermented Milk Products,1,104,10403
1,Animal Products,4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",404,Whey,1,104,10404
1,Animal Products,4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",405,Butter,1,104,10405
1,Animal Products,4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",406,Cheese,1,104,10406
1,Animal Products,4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",407,Eggs,1,104,10407
1,Animal Products,4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",408,Processed Egg Products,1,104,10408
1,Animal Products,4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",409,Honey,1,104,10409
1,Animal Products,4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",410,Other Edible Animal Products,1,104,10410
1,Animal Products,5,Animal originated products; not elsewhere specified or included,501,Human Hair,1,105,10501
1,Animal Products,5,Animal originated products; not elsewhere specified or included,502,Pig Hair,1,105,10502
1,Animal Products,5,Animal originated products; not elsewhere specified or included,503,Horse Hair,1,105,10503
1,Animal Products,5,Animal originated products; not elsewhere specified or included,504,Animal Organs,1,105,10504
1,Animal Products,5,Animal originated products; not elsewhere specified or included,505,Bird Feathers and Skins,1,105,10505
1,Animal Products,5,Animal originated products; not elsewhere specified or included,506,Processed Bones,1,105,10506
1,Animal Products,5,Animal originated products; not elsewhere specified or included,507,Raw Bones,1,105,10507
1,Animal Products,5,Animal originated products; not elsewhere specified or included,508,Coral and Shells,1,105,10508
1,Animal Products,5,Animal originated products; not elsewhere specified or included,509,Sponges,1,105,10509
1,Animal Products,5,Animal originated products; not elsewhere specified or included,510,Pharmaceutical Animal Products,1,105,10510
1,Animal Products,5,Animal originated products; not elsewhere specified or included,511,Other Inedible Animal Products,1,105,10511
2,Vegetable Products,6,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",601,Bulbs and Roots,2,206,20601
2,Vegetable Products,6,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",602,Other Live Plants,2,206,20602
2,Vegetable Products,6,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",603,Cut Flowers,2,206,20603
2,Vegetable Products,6,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",604,Foliage,2,206,20604
2,Vegetable Products,7,Vegetables and certain roots and tubers; edible,701,Potatoes,2,207,20701
2,Vegetable Products,7,Vegetables and certain roots and tubers; edible,702,Tomatoes,2,207,20702
2,Vegetable Products,7,Vegetables and certain roots and tubers; edible,703,Onions,2,207,20703
2,Vegetable Products,7,Vegetables and certain roots and tubers; edible,704,Cabbages,2,207,20704
2,Vegetable Products,7,Vegetables and certain roots and tubers; edible,705,Lettuce,2,207,20705
2,Vegetable Products,7,Vegetables and certain roots and tubers; edible,706,Root Vegetables,2,207,20706
2,Vegetable Products,7,Vegetables and certain roots and tubers; edible,707,Cucumbers,2,207,20707
2,Vegetable Products,7,Vegetables and certain roots and tubers; edible,708,Legumes,2,207,20708
2,Vegetable Products,7,Vegetables and certain roots and tubers; edible,709,Other Vegetables,2,207,20709
2,Vegetable Products,7,Vegetables and certain roots and tubers; edible,710,Frozen Vegetables,2,207,20710
2,Vegetable Products,7,Vegetables and certain roots and tubers; edible,711,Preserved Vegetables,2,207,20711
2,Vegetable Products,7,Vegetables and certain roots and tubers; edible,712,Dried Vegetables,2,207,20712
2,Vegetable Products,7,Vegetables and certain roots and tubers; edible,713,Dried Legumes,2,207,20713
2,Vegetable Products,7,Vegetables and certain roots and tubers; edible,714,Cassava,2,207,20714
2,Vegetable Products,8,"Fruit and nuts, edible; peel of citrus fruit or melons",801,"Coconuts, Brazil Nuts, and Cashews",2,208,20801
2,Vegetable Products,8,"Fruit and nuts, edible; peel of citrus fruit or melons",802,Other Nuts,2,208,20802
2,Vegetable Products,8,"Fruit and nuts, edible; peel of citrus fruit or melons",803,Bananas,2,208,20803
2,Vegetable Products,8,"Fruit and nuts, edible; peel of citrus fruit or melons",804,Tropical Fruits,2,208,20804
2,Vegetable Products,8,"Fruit and nuts, edible; peel of citrus fruit or melons",805,Citrus,2,208,20805
2,Vegetable Products,8,"Fruit and nuts, edible; peel of citrus fruit or melons",806,Grapes,2,208,20806
2,Vegetable Products,8,"Fruit and nuts, edible; peel of citrus fruit or melons",807,Melons,2,208,20807
2,Vegetable Products,8,"Fruit and nuts, edible; peel of citrus fruit or melons",808,Apples and Pears,2,208,20808
