,month,month_name,quarter,quarter_name,time_id,year 
0,1,January,1,Q1,199501,1995
1,2,February,1,Q1,199502,1995
2,3,March,1,Q1,199503,1995
3,4,April,2,Q2,199504,1995
4,5,May,2,Q2,199505,1995
5,6,June,2,Q2,199506,1995
6,7,July,3,Q3,199507,1995
7,8,August,3,Q3,199508,1995
8,9,September,3,Q3,199509,1995
9,10,October,4,Q4,199510,1995
10,11,November,4,Q4,199511,1995
11,12,December,4,Q4,199512,1995
12,1,January,1,Q1,199601,1996
13,2,February,1,Q1,199602,1996
14,3,March,1,Q1,199603,1996
15,4,April,2,Q2,199604,1996
16,5,May,2,Q2,199605,1996
17,6,June,2,Q2,199606,1996
18,7,July,3,Q3,199607,1996
19,8,August,3,Q3,199608,1996
20,9,September,3,Q3,199609,1996
21,10,October,4,Q4,199610,1996
22,11,November,4,Q4,199611,1996
23,12,December,4,Q4,199612,1996
24,1,January,1,Q1,199701,1997
25,2,February,1,Q1,199702,1997
26,3,March,1,Q1,199703,1997
27,4,April,2,Q2,199704,1997
28,5,May,2,Q2,199705,1997
29,6,June,2,Q2,199706,1997
30,7,July,3,Q3,199707,1997
31,8,August,3,Q3,199708,1997
32,9,September,3,Q3,199709,1997
33,10,October,4,Q4,199710,1997
34,11,November,4,Q4,199711,1997
35,12,December,4,Q4,199712,1997
36,1,January,1,Q1,199801,1998
37,2,February,1,Q1,199802,1998
38,3,March,1,Q1,199803,1998
39,4,April,2,Q2,199804,1998
40,5,May,2,Q2,199805,1998
41,6,June,2,Q2,199806,1998
42,7,July,3,Q3,199807,1998
43,8,August,3,Q3,199808,1998
44,9,September,3,Q3,199809,1998
45,10,October,4,Q4,199810,1998
46,11,November,4,Q4,199811,1998
47,12,December,4,Q4,199812,1998
48,1,January,1,Q1,199901,1999
49,2,February,1,Q1,199902,1999
50,3,March,1,Q1,199903,1999
51,4,April,2,Q2,199904,1999
52,5,May,2,Q2,199905,1999
53,6,June,2,Q2,199906,1999
54,7,July,3,Q3,199907,1999
55,8,August,3,Q3,199908,1999
56,9,September,3,Q3,199909,1999
57,10,October,4,Q4,199910,1999
58,11,November,4,Q4,199911,1999
59,12,December,4,Q4,199912,1999
60,1,January,1,Q1,200001,2000
61,2,February,1,Q1,200002,2000
62,3,March,1,Q1,200003,2000
63,4,April,2,Q2,200004,2000
64,5,May,2,Q2,200005,2000
65,6,June,2,Q2,200006,2000
66,7,July,3,Q3,200007,2000
67,8,August,3,Q3,200008,2000
68,9,September,3,Q3,200009,2000
69,10,October,4,Q4,200010,2000
70,11,November,4,Q4,200011,2000
71,12,December,4,Q4,200012,2000
72,1,January,1,Q1,200101,2001
73,2,February,1,Q1,200102,2001
74,3,March,1,Q1,200103,2001
75,4,April,2,Q2,200104,2001
76,5,May,2,Q2,200105,2001
77,6,June,2,Q2,200106,2001
78,7,July,3,Q3,200107,2001
79,8,August,3,Q3,200108,2001
80,9,September,3,Q3,200109,2001
81,10,October,4,Q4,200110,2001
