month,month_name,quarter,quarter_name,time_id,year 
1,"January",1,"Q1",199501,1995
2,"February",1,"Q1",199502,1995
3,"March",1,"Q1",199503,1995
4,"April",2,"Q2",199504,1995
5,"May",2,"Q2",199505,1995
6,"June",2,"Q2",199506,1995
7,"July",3,"Q3",199507,1995
8,"August",3,"Q3",199508,1995
9,"September",3,"Q3",199509,1995
10,"October",4,"Q4",199510,1995
11,"November",4,"Q4",199511,1995
12,"December",4,"Q4",199512,1995
1,"January",1,"Q1",199601,1996
2,"February",1,"Q1",199602,1996
3,"March",1,"Q1",199603,1996
4,"April",2,"Q2",199604,1996
5,"May",2,"Q2",199605,1996
6,"June",2,"Q2",199606,1996
7,"July",3,"Q3",199607,1996
8,"August",3,"Q3",199608,1996
9,"September",3,"Q3",199609,1996
10,"October",4,"Q4",199610,1996
11,"November",4,"Q4",199611,1996
12,"December",4,"Q4",199612,1996
1,"January",1,"Q1",199701,1997
2,"February",1,"Q1",199702,1997
3,"March",1,"Q1",199703,1997
4,"April",2,"Q2",199704,1997
5,"May",2,"Q2",199705,1997
6,"June",2,"Q2",199706,1997
7,"July",3,"Q3",199707,1997
8,"August",3,"Q3",199708,1997
9,"September",3,"Q3",199709,1997
10,"October",4,"Q4",199710,1997
11,"November",4,"Q4",199711,1997
12,"December",4,"Q4",199712,1997
1,"January",1,"Q1",199801,1998
2,"February",1,"Q1",199802,1998
3,"March",1,"Q1",199803,1998
4,"April",2,"Q2",199804,1998
5,"May",2,"Q2",199805,1998
6,"June",2,"Q2",199806,1998
7,"July",3,"Q3",199807,1998
8,"August",3,"Q3",199808,1998
9,"September",3,"Q3",199809,1998
10,"October",4,"Q4",199810,1998
11,"November",4,"Q4",199811,1998
12,"December",4,"Q4",199812,1998
1,"January",1,"Q1",199901,1999
2,"February",1,"Q1",199902,1999
3,"March",1,"Q1",199903,1999
4,"April",2,"Q2",199904,1999
5,"May",2,"Q2",199905,1999
6,"June",2,"Q2",199906,1999
7,"July",3,"Q3",199907,1999
8,"August",3,"Q3",199908,1999
9,"September",3,"Q3",199909,1999
10,"October",4,"Q4",199910,1999
11,"November",4,"Q4",199911,1999
12,"December",4,"Q4",199912,1999
1,"January",1,"Q1",200001,2000
2,"February",1,"Q1",200002,2000
3,"March",1,"Q1",200003,2000
4,"April",2,"Q2",200004,2000
5,"May",2,"Q2",200005,2000
6,"June",2,"Q2",200006,2000
7,"July",3,"Q3",200007,2000
8,"August",3,"Q3",200008,2000
9,"September",3,"Q3",200009,2000
10,"October",4,"Q4",200010,2000
11,"November",4,"Q4",200011,2000
12,"December",4,"Q4",200012,2000
1,"January",1,"Q1",200101,2001
2,"February",1,"Q1",200102,2001
3,"March",1,"Q1",200103,2001
4,"April",2,"Q2",200104,2001
5,"May",2,"Q2",200105,2001
6,"June",2,"Q2",200106,2001
7,"July",3,"Q3",200107,2001
8,"August",3,"Q3",200108,2001
9,"September",3,"Q3",200109,2001
10,"October",4,"Q4",200110,2001
11,"November",4,"Q4",200111,2001
12,"December",4,"Q4",200112,2001
1,"January",1,"Q1",200201,2002
2,"February",1,"Q1",200202,2002
3,"March",1,"Q1",200203,2002
4,"April",2,"Q2",200204,2002
5,"May",2,"Q2",200205,2002
6,"June",2,"Q2",200206,2002
7,"July",3,"Q3",200207,2002
8,"August",3,"Q3",200208,2002
9,"September",3,"Q3",200209,2002
10,"October",4,"Q4",200210,2002
11,"November",4,"Q4",200211,2002
12,"December",4,"Q4",200212,2002
1,"January",1,"Q1",200301,2003
2,"February",1,"Q1",200302,2003
3,"March",1,"Q1",200303,2003
4,"April",2,"Q2",200304,2003
5,"May",2,"Q2",200305,2003
6,"June",2,"Q2",200306,2003
7,"July",3,"Q3",200307,2003
8,"August",3,"Q3",200308,2003
9,"September",3,"Q3",200309,2003
10,"October",4,"Q4",200310,2003
11,"November",4,"Q4",200311,2003
12,"December",4,"Q4",200312,2003
1,"January",1,"Q1",200401,2004
2,"February",1,"Q1",200402,2004
3,"March",1,"Q1",200403,2004
4,"April",2,"Q2",200404,2004
5,"May",2,"Q2",200405,2004
6,"June",2,"Q2",200406,2004
7,"July",3,"Q3",200407,2004
8,"August",3,"Q3",200408,2004
9,"September",3,"Q3",200409,2004
10,"October",4,"Q4",200410,2004
11,"November",4,"Q4",200411,2004
12,"December",4,"Q4",200412,2004
1,"January",1,"Q1",200501,2005
2,"February",1,"Q1",200502,2005
3,"March",1,"Q1",200503,2005
4,"April",2,"Q2",200504,2005
5,"May",2,"Q2",200505,2005
6,"June",2,"Q2",200506,2005
7,"July",3,"Q3",200507,2005
8,"August",3,"Q3",200508,2005
9,"September",3,"Q3",200509,2005
10,"October",4,"Q4",200510,2005
11,"November",4,"Q4",200511,2005
12,"December",4,"Q4",200512,2005
1,"January",1,"Q1",200601,2006
2,"February",1,"Q1",200602,2006
3,"March",1,"Q1",200603,2006
4,"April",2,"Q2",200604,2006
5,"May",2,"Q2",200605,2006
6,"June",2,"Q2",200606,2006
