chapter,chapter_name,hs2,hs2_name,hs4,hs4_name,hs6,hs6_name,chapter_id,hs2_id,hs4_id,hs6_id
"01","Animal Products","01","Animals; live","0101","Horses","010111","Horses, live pure-bred breeding",1,101,10101,1010111
"01","Animal Products","01","Animals; live","0101","Horses","010119","Horses, live except pure-bred breeding",1,101,10101,1010119
"01","Animal Products","01","Animals; live","0101","Horses","010120","Asses, mules and hinnies, live",1,101,10101,1010120
"01","Animal Products","01","Animals; live","0102","Bovine","010210","Bovine animals, live pure-bred breeding",1,101,10102,1010210
"01","Animal Products","01","Animals; live","0102","Bovine","010290","Bovine animals, live, except pure-bred breeding",1,101,10102,1010290
"01","Animal Products","01","Animals; live","0103","Pigs","010310","Swine, live pure-bred breeding",1,101,10103,1010310
"01","Animal Products","01","Animals; live","0103","Pigs","010391","Swine, live except pure-bred breeding < 50 kg",1,101,10103,1010391
"01","Animal Products","01","Animals; live","0103","Pigs","010392","Swine, live except pure-bred breeding > 50 kg",1,101,10103,1010392
"01","Animal Products","01","Animals; live","0104","Sheep and Goats","010410","Sheep, live",1,101,10104,1010410
"01","Animal Products","01","Animals; live","0104","Sheep and Goats","010420","Goats, live",1,101,10104,1010420
"01","Animal Products","01","Animals; live","0105","Poultry","010511","Fowls, live domestic < 185 grams",1,101,10105,1010511
"01","Animal Products","01","Animals; live","0105","Poultry","010519","Poultry, live except domestic fowls, < 185 grams",1,101,10105,1010519
"01","Animal Products","01","Animals; live","0105","Poultry","010591","Fowls, live domestic > 185 grams",1,101,10105,1010591
"01","Animal Products","01","Animals; live","0105","Poultry","010599","Poultry, live except domestic fowls, > 185 grams",1,101,10105,1010599
"01","Animal Products","01","Animals; live","0106","Other Animals","010600","Animals, live, except farm animals",1,101,10106,1010600
"01","Animal Products","02","Meat and edible meat offal","0201","Bovine Meat","020110","Bovine carcasses and half carcasses, fresh or chilled",1,102,10201,1020110
"01","Animal Products","02","Meat and edible meat offal","0201","Bovine Meat","020120","Bovine cuts bone in, fresh or chilled",1,102,10201,1020120
"01","Animal Products","02","Meat and edible meat offal","0201","Bovine Meat","020130","Bovine cuts boneless, fresh or chilled",1,102,10201,1020130
"01","Animal Products","02","Meat and edible meat offal","0202","Frozen Bovine Meat","020210","Bovine carcasses and half carcasses, frozen",1,102,10202,1020210
"01","Animal Products","02","Meat and edible meat offal","0202","Frozen Bovine Meat","020220","Bovine cuts bone in, frozen",1,102,10202,1020220
